"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\deference_bandit_exp0\experiment_0_bandit_base.nlogox"
"experiment-0-bandit-main-final"
"08/01/2026 08:59:56:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","[step]","actual-seed","hidden-world","ticks","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-posterior-truth-mass","cumulative-lay-correct-choice-rate","mean-lay-cumulative-regret","mean-lay-realized-payoff","mean-lay-b-pulls","mean-lay-informative-observations","final-window-wrong-choice-rate","finite-horizon-error-persistence-rate","run-finite-horizon-persistent-error?","expert-posterior-truth-mass","expert-recommendation-accuracy","expert-thompson-correct-rate","expert-cumulative-regret","expert-b-pull-rate","lay-a-reward-rate","lay-b-reward-rate","expert-a-reward-rate","expert-b-reward-rate","mean-peer-messages-received","mean-unique-evidence-count","duplicate-message-count","maximum-belief-identity-error","maximum-regret-identity-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?"
"21","310021","B-good","true","500","310021","B-good","500","125","5000","0.11850053134012864","0","30","0.8604637691452529","1","48","75","0.9999999999999953","0.977","0.5750000000000005","0.556","488.5","1463.5","0","0","false","0.11850053134012864","0","0.24","4.749999999999992","0.24","0.4782608695652174","0.5578300921187308","0.4842105263157895","0.3333333333333333","998","1498","0","8.526512829121202E-14","1.2434497875801753E-14","true","true","true"
"23","310023","B-good","true","500","310023","B-good","500","125","5000","0.353883495145631","0","87","0.6148533740364713","0.55","40.2","75","0.9999996339822618","0.9174","2.064999999999999","0.5404","458.7","1374.1","0","0","false","0.353883495145631","0","0.696","1.9000000000000017","0.696","0.5351089588377724","0.540876389797253","0.5","0.4827586206896552","998","1498","0","6.394884621840902E-14","1.865174681370263E-14","true","true","true"
"22","310022","B-good","true","500","310022","B-good","500","125","5000","0.9946080309222399","1","116","0.621934624128902","0.6","41.4","75","0.9999999564665559","0.9144","2.1399999999999997","0.5464","457.2","1369.6","0","0","false","0.9946080309222399","1","0.928","0.4500000000000004","0.928","0.49065420560747663","0.5516185476815398","0.3333333333333333","0.6120689655172413","998","1498","0","7.105427357601002E-14","1.0658141036401503E-14","true","true","true"
"24","310024","B-good","true","500","310024","B-good","500","125","5000","0.9680589764391282","1","85","0.7108892911004168","0.8","46.8","75","0.9999999999981183","0.9636","0.9100000000000004","0.553","481.8","1443.4","0","0","false","0.9680589764391282","1","0.68","2.0000000000000018","0.68","0.5164835164835165","0.5543794105437941","0.55","0.6","998","1498","0","9.237055564881302E-14","4.440892098500626E-15","true","true","true"
"25","310025","B-good","true","500","310025","B-good","500","125","5000","0.9980162717648575","1","103","0.6663278059172436","0.7","48.3","75","0.999995556605158","0.909","2.275000000000003","0.545","454.5","1361.5","0","0","false","0.9980162717648575","1","0.824","1.100000000000001","0.824","0.5142857142857142","0.5480748074807481","0.4090909090909091","0.6504854368932039","998","1498","0","8.526512829121202E-14","2.8421709430404007E-14","true","true","true"
"26","310026","B-good","true","500","310026","B-good","500","125","5000","0.9991100672591223","1","99","0.5470247698972699","0.55","39.6","75","0.999999408058831","0.9346","1.635000000000001","0.5478","467.3","1399.9","0","0","false","0.9991100672591223","1","0.792","1.3000000000000012","0.792","0.5382262996941896","0.5484699336614595","0.5","0.6767676767676768","998","1498","0","8.526512829121202E-14","3.552713678800501E-15","true","true","true"
"27","310027","B-good","true","500","310027","B-good","500","125","5000","0.3094519384963682","0","40","0.7457513228198622","0.8","48.9","75","0.9999999999999687","0.9568","1.0800000000000003","0.5562","478.4","1433.2","0","0","false","0.3094519384963682","0","0.32","4.249999999999994","0.32","0.47685185185185186","0.5597826086956522","0.43529411764705883","0.45","998","1498","0","8.526512829121202E-14","9.769962616701378E-15","true","true","true"
"28","310028","B-good","true","500","310028","B-good","500","125","5000","0.5","0.5","80","0.51868429861926","0.5","37.8","75","0.9999999997256198","0.9006","2.484999999999997","0.5404","450.3","1348.9","0","0","false","0.5","0.5","0.64","2.250000000000001","0.64","0.49295774647887325","0.5456362425049966","0.5333333333333333","0.5","998","1498","0","6.394884621840902E-14","2.042810365310288E-14","true","true","true"
"29","310029","B-good","true","500","310029","B-good","500","125","5000","0.832766961303352","1","90","0.5722191484637869","0.65","47.1","75","0.999999999999692","0.954","1.1500000000000008","0.5506","477","1429","0","0","false","0.832766961303352","1","0.72","1.7500000000000016","0.72","0.4652173913043478","0.5547169811320755","0.6857142857142857","0.5444444444444444","998","1498","0","7.815970093361102E-14","8.881784197001252E-16","true","true","true"
"30","310030","B-good","true","500","310030","B-good","500","125","5000","0.44999999999999996","0","49","0.733910265372773","0.75","46.8","75","0.9999999999990388","0.9514","1.2150000000000005","0.555","475.7","1425.1","0","0","false","0.44999999999999996","0","0.392","3.7999999999999954","0.392","0.51440329218107","0.5570737859995796","0.40789473684210525","0.4897959183673469","998","1498","0","9.947598300641403E-14","7.993605777301127E-15","true","true","true"
