"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\codex_exp2_opaque\model_frozen_v2.nlogox"
"experiment-2-opaque-main-final"
"08/01/2026 17:05:05:071 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","credence-policy","[step]","actual-seed","hidden-world","ticks","report-table-version","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-llr-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-cumulative-regret-at-25","private-expert-q-at-intervention","private-expert-llr-at-intervention","broadcast-message-bin","broadcast-message-midpoint","broadcast-message-llr","broadcast-message-mode","expert-report-direction-accuracy","credence-message-count","expert-raw-items-transmitted","inbox-empty-at-intervention?","maximum-message-bin-copy-error","maximum-message-llr-copy-error","maximum-immediate-policy-formula-error","mean-received-message-bin-post-intervention","received-bin-dispersion-post-intervention","mean-received-message-llr-post-intervention","received-message-llr-dispersion-post-intervention","mean-lay-truth-mass-post-intervention","lay-q-dispersion-post-intervention","mean-lay-local-archive-size-post-intervention","mean-lay-active-decision-inputs-post-intervention","mean-lay-post-intervention-regret","early-window-wrong-choice-rate","post-intervention-correct-choice-rate","final-window-correct-choice-rate","final-window-wrong-choice-rate","mean-lay-final-brier-score","mean-lay-posterior-truth-mass","mean-lay-q","mean-lay-cumulative-regret","mean-lay-realized-payoff","post-intervention-realized-payoff","mean-lay-b-pulls","maximum-local-ledger-identity-error","maximum-regret-identity-error","maximum-decision-decomposition-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?","credence-payload-valid?","credence-intervention-valid?"
"9","510009","B-good","true","No Deference","500","510009","B-good","500","sha256:2708886b9a088082","125","5000","0.5","0.5","80","0.5400957288945165","0.1806036259159361","0.5","34.5","75","0.6750000000000006","0.5","5.551115123125783E-17","5","0.55","0.225409722106603","Coarse","1","1","0","true","0","0","0","5","0","0.22540972210660298","2.925694557147251E-17","0.5400957288945165","0.16999563090585187","75","75","1.6199999999999988","0.308","0.9317894736842105","1","0","7.615774928697302E-16","0.9999999911806545","0.9999999911806545","2.2949999999999995","0.547","0.5494736842105263","454.1","7.815970093361102E-14","8.881784197001252E-15","0","true","true","true","true","true"
"12","510012","B-good","true","No Deference","500","510012","B-good","500","sha256:2708886b9a088082","125","5000","0.353883495145631","0","53","0.5370677010637882","0.24080483455458146","0.5","41.4","75","0.5600000000000005","0.353883495145631","-0.6020120863864538","3","0.35000000000000003","-0.752409436346952","Coarse","0","1","0","true","0","0","0","3","0","-0.7524094363469519","1.1702778228589004E-16","0.5370677010637882","0.24124432579161115","75","75","2.9499999999999953","0.512","0.8757894736842106","1","0","2.3777388316747666E-8","0.9999511586225152","0.9999511586225152","3.509999999999996","0.5398","0.5412631578947369","429.8","7.815970093361102E-14","2.6645352591003757E-14","7.105427357601002E-15","true","true","true","true","true"
"14","510014","B-good","true","No Deference","500","510014","B-good","500","sha256:2708886b9a088082","125","5000","0.1970721635721919","0","65","0.6878467979252016","0.9632193382183261","0.85","49.8","75","0.4200000000000004","0.1970721635721919","-1.4046948682350588","1","0.15000000000000002","-1.67457630414391","Coarse","0","1","0","true","0","0","0","1","0","-1.6745763041439097","2.340555645717801E-16","0.6878467979252016","0.19969602019344398","75","75","0.6799999999999999","0.224","0.9713684210526315","1","0","4.998053315844127E-20","0.9999999999266809","0.9999999999266809","1.1000000000000003","0.5456","0.5488421052631579","478","6.394884621840902E-14","6.217248937900877E-15","7.105427357601002E-15","true","true","true","true","true"
"15","510015","B-good","true","No Deference","500","510015","B-good","500","sha256:2708886b9a088082","125","5000","0.7692398877638839","1","78","0.5805795661645353","0.4816096691091628","0.7","35.4","75","0.6600000000000006","0.7692398877638839","1.2040241727729075","7","0.7500000000000001","1.04564132622468","Coarse","1","1","0","true","0","0","0","7","0","1.0456413262246798","2.340555645717801E-16","0.5805795661645353","0.29069933987563673","75","75","0.6599999999999997","0.348","0.9722105263157895","1","0","8.816888103517229E-21","0.9999999999546798","0.9999999999546798","1.3200000000000003","0.5448","0.5454736842105263","473.6","7.105427357601002E-14","3.9968028886505635E-15","7.105427357601002E-15","true","true","true","true","true"
"13","510013","B-good","true","No Deference","500","510013","B-good","500","sha256:2708886b9a088082","125","5000","0.9919667203630474","1","104","0.5663242135191722","0.4214084604705177","0.55","40.5","75","0.5750000000000005","0.9919667203630474","4.81609669109163","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5663242135191722","0.23472696307370602","75","75","1.6349999999999976","0.444","0.9311578947368421","1","0","5.1560285820432E-18","0.9999999986619115","0.9999999986619115","2.209999999999998","0.5438","0.5446315789473685","455.8","7.105427357601002E-14","1.865174681370263E-14","7.105427357601002E-15","true","true","true","true","true"
"16","510016","B-good","true","No Deference","500","510016","B-good","500","sha256:2708886b9a088082","125","5000","0.8029278364278081","1","75","0.755029390029227","1.2642253814115532","0.9","51.9","75","0.38500000000000034","0.8029278364278081","1.4046948682350588","8","0.8500000000000001","1.70144743881961","Coarse","1","1","0","true","0","0","0","8","0","1.70144743881961","0","0.755029390029227","0.1665980180359169","75","75","0.41500000000000037","0.216","0.9825263157894737","1","0","1.458325425874186E-22","0.9999999999948038","0.9999999999948038","0.8000000000000007","0.5576","0.5576842105263158","484","1.2079226507921703E-13","2.220446049250313E-15","7.105427357601002E-15","true","true","true","true","true"
"17","510017","B-good","true","No Deference","500","510017","B-good","500","sha256:2708886b9a088082","125","5000","0.9880470865159074","1","98","0.6677937295937725","0.9632193382183258","0.8","43.2","75","0.5300000000000005","0.9880470865159074","4.414755300167327","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.6677937295937725","0.22445275653198712","75","75","0.2600000000000001","0.184","0.9890526315789474","1","0","4.994176826359079E-20","0.9999999999292084","0.9999999999292084","0.7900000000000006","0.5498","0.552","484.2","7.815970093361102E-14","0","3.552713678800501E-15","true","true","true","true","true"
"18","510018","B-good","true","No Deference","500","510018","B-good","500","sha256:2708886b9a088082","125","5000","0.5990099009900991","1","64","0.6379760728808579","0.6622132950250991","0.7","47.7","75","0.4550000000000004","0.5990099009900991","0.40134139092430254","5","0.55","0.225409722106603","Coarse","1","1","0","true","0","0","0","5","0","0.22540972210660298","2.925694557147251E-17","0.6379760728808579","0.19743092821493757","75","75","1.0199999999999987","0.292","0.9570526315789474","1","0","6.418376586463444E-14","0.9999999055775428","0.9999999055775428","1.4749999999999992","0.5412","0.5427368421052632","470.5","7.105427357601002E-14","1.4210854715202004E-14","7.105427357601002E-15","true","true","true","true","true"
"19","510019","B-good","true","No Deference","500","510019","B-good","500","sha256:2708886b9a088082","125","5000","0.44999999999999996","0","81","0.6523932361493658","0.8428169209410351","0.85","37.2","75","0.6300000000000006","0.44999999999999996","-0.2006706954621512","4","0.45","-0.332834215328142","Coarse","0","1","0","true","0","0","0","4","0","-0.332834215328142","0","0.6523932361493658","0.2151565262475755","75","75","1.2049999999999998","0.336","0.9492631578947368","1","0","3.813611692229054E-16","0.9999999913078093","0.9999999913078093","1.8350000000000004","0.548","0.5496842105263158","463.3","7.815970093361102E-14","5.773159728050814E-15","7.105427357601002E-15","true","true","true","true","true"
"20","510020","B-good","true","No Deference","500","510020","B-good","500","sha256:2708886b9a088082","125","5000","0.55","1","69","0.5594036443189438","0.301006043193227","0.65","40.5","75","0.5750000000000005","0.55","0.2006706954621513","5","0.55","0.225409722106603","Coarse","1","1","0","true","0","0","0","5","0","0.22540972210660298","2.925694557147251E-17","0.5594036443189438","0.22505970003001927","75","75","0.8850000000000008","0.36","0.9627368421052631","1","0","4.902339699425963E-23","0.9999999999967046","0.9999999999967046","1.4600000000000013","0.5542","0.5557894736842105","470.8","8.526512829121202E-14","3.552713678800501E-15","3.552713678800501E-15","true","true","true","true","true"
