"world","policy","ticks","correct_share","post_regret","mean_q"
"B-good","C-Total Evidence",200,0.961,0.816099999999999,0.962237798494493
"B-bad","No Deference",200,0.891,1.7672,0.113233731190936
"B-good","No Deference",200,0.9475,1.399575,0.948118667377148
"B-bad","C-Preemption",205,0.8965,1.55235,0.100704025474345
"B-good","C-Preemption",205,0.957,1.099425,0.955406868916293
"B-bad","C-Total Evidence",205,0.922,1.226875,0.0824100122299756
"B-good","C-Total Evidence",205,0.967,0.824824999999999,0.964194611988575
"B-bad","No Deference",205,0.8885,1.7943,0.110538353743293
"B-good","No Deference",205,0.952,1.412125,0.948290982965273
"B-bad","C-Preemption",210,0.904,1.577325,0.0970916748860988
"B-good","C-Preemption",210,0.961,1.110075,0.959075689728564
"B-bad","C-Total Evidence",210,0.916,1.24755,0.0810824377113217
"B-good","C-Total Evidence",210,0.9675,0.833674999999999,0.966358048061773
"B-bad","No Deference",210,0.893,1.821625,0.107706797567128
"B-good","No Deference",210,0.949,1.4244,0.952929704514158
"B-bad","C-Preemption",215,0.9035,1.601975,0.0941347190319509
"B-good","C-Preemption",215,0.9585,1.1201,0.961641052613741
"B-bad","C-Total Evidence",215,0.9225,1.267875,0.0788157945335138
"B-good","C-Total Evidence",215,0.969,0.842099999999999,0.967790679653758
"B-bad","No Deference",215,0.896,1.84805,0.104341724036503
"B-good","No Deference",215,0.9575,1.43615,0.954856098116983
"B-bad","C-Preemption",220,0.908,1.62395,0.0933068362730199
"B-good","C-Preemption",220,0.9645,1.129375,0.962400809523043
"B-bad","C-Total Evidence",220,0.925,1.28585,0.0781137769810797
"B-good","C-Total Evidence",220,0.9715,0.849699999999999,0.969626419826275
"B-bad","No Deference",220,0.9005,1.873,0.104166811481744
"B-good","No Deference",220,0.961,1.4469,0.957561549618957
"B-bad","C-Preemption",225,0.903,1.64675,0.0919036300662858
"B-good","C-Preemption",225,0.968,1.137975,0.96388377747846
"B-bad","C-Total Evidence",225,0.923,1.304525,0.0764344106836826
"B-good","C-Total Evidence",225,0.9725,0.856849999999999,0.970575895161356
"B-bad","No Deference",225,0.89,1.899225,0.102185308997817
"B-good","No Deference",225,0.9575,1.457625,0.959346469665972
"B-bad","C-Preemption",230,0.9105,1.670175,0.0912008360261883
"B-good","C-Preemption",230,0.9595,1.147575,0.964487276389074
"B-bad","C-Total Evidence",230,0.9285,1.32345,0.0746955155905
"B-good","C-Total Evidence",230,0.9705,0.864374999999999,0.970530414954877
"B-bad","No Deference",230,0.896,1.925,0.0995393439340009
"B-good","No Deference",230,0.9615,1.46785,0.960130504894665
"B-bad","C-Preemption",235,0.9005,1.692025,0.0902399073351187
"B-good","C-Preemption",235,0.966,1.156025,0.965537502595009
"B-bad","C-Total Evidence",235,0.9225,1.3414,0.0730613115180706
"B-good","C-Total Evidence",235,0.9715,0.871574999999999,0.971652431133735
"B-bad","No Deference",235,0.8965,1.949125,0.0982830910594231
"B-good","No Deference",235,0.961,1.477575,0.962173655926918
"B-bad","C-Preemption",240,0.909,1.715625,0.0882268493778427
"B-good","C-Preemption",240,0.9675,1.1646,0.966459702707815
"B-bad","C-Total Evidence",240,0.92,1.36105,0.0714459791070217
"B-good","C-Total Evidence",240,0.972,0.878574999999999,0.972416577988427
"B-bad","No Deference",240,0.902,1.9749,0.0957224633631231
"B-good","No Deference",240,0.9625,1.487125,0.963145677260735
"B-bad","C-Preemption",245,0.916,1.73775,0.0857382685473221
"B-good","C-Preemption",245,0.97,1.1727,0.968423659486766
"B-bad","C-Total Evidence",245,0.924,1.379725,0.0706485897178154
"B-good","C-Total Evidence",245,0.9735,0.885149999999999,0.974724038323869
"B-bad","No Deference",245,0.901,1.9984,0.0919710899090032
"B-good","No Deference",245,0.97,1.49565,0.966050881357159
"B-bad","C-Preemption",250,0.918,1.759075,0.0821630972602983
"B-good","C-Preemption",250,0.9695,1.18075,0.968969212822975
"B-bad","C-Total Evidence",250,0.9365,1.397075,0.0686393418782638
"B-good","C-Total Evidence",250,0.977,0.89135,0.975398068007688
"B-bad","No Deference",250,0.9095,2.020775,0.0891085370698239
"B-good","No Deference",250,0.964,1.504325,0.965475951267608
"B-bad","C-Preemption",255,0.9305,1.7785,0.081491499907233
"B-good","C-Preemption",255,0.97,1.188475,0.970025655742247
"B-bad","C-Total Evidence",255,0.9405,1.413325,0.0679608249165416
"B-good","C-Total Evidence",255,0.9765,0.89715,0.976849278950121
"B-bad","No Deference",255,0.917,2.043,0.088537933777495
"B-good","No Deference",255,0.9645,1.5129,0.966968393654733
"B-bad","C-Preemption",260,0.92,1.798475,0.0799163603987937
"B-good","C-Preemption",260,0.9695,1.195775,0.970474211440542
"B-bad","C-Total Evidence",260,0.9365,1.42895,0.0663593019504821
"B-good","C-Total Evidence",260,0.977,0.902775,0.977113626071772
"B-bad","No Deference",260,0.919,2.064125,0.0856207721430753
"B-good","No Deference",260,0.967,1.52095,0.968639790015389
"B-bad","C-Preemption",265,0.928,1.817925,0.0777263134189075
"B-good","C-Preemption",265,0.9725,1.2029,0.971903991185929
"B-bad","C-Total Evidence",265,0.939,1.44435,0.0656511482389028
"B-good","C-Total Evidence",265,0.9795,0.9086,0.977524495951528
"B-bad","No Deference",265,0.923,2.08505,0.0848136331093292
"B-good","No Deference",265,0.973,1.52885,0.969625862685979
"B-bad","C-Preemption",270,0.923,1.837175,0.0758491289769421
"B-good","C-Preemption",270,0.9765,1.20965,0.972895163133806
"B-bad","C-Total Evidence",270,0.9315,1.460875,0.0660498567274906
"B-good","C-Total Evidence",270,0.9785,0.914225,0.978526891428824
"B-bad","No Deference",270,0.9135,2.10655,0.0838407372193845
"B-good","No Deference",270,0.971,1.5361,0.970841933843188
"B-bad","C-Preemption",275,0.9335,1.8545,0.0739701569730583
"B-good","C-Preemption",275,0.973,1.216,0.974031535371486
"B-bad","C-Total Evidence",275,0.936,1.476,0.0642554237348761
"B-good","C-Total Evidence",275,0.977,0.919675,0.978924937815349
"B-bad","No Deference",275,0.9215,2.126625,0.0817793598325218
"B-good","No Deference",275,0.967,1.543525,0.970635414339796
"B-bad","C-Preemption",280,0.921,1.8732,0.0725135778520303
"B-good","C-Preemption",280,0.976,1.222325,0.974557554677132
"B-bad","C-Total Evidence",280,0.937,1.492225,0.0631364674004997
"B-good","C-Total Evidence",280,0.9805,0.92475,0.980035048753783
"B-bad","No Deference",280,0.9175,2.147825,0.0796115772476903
"B-good","No Deference",280,0.973,1.550925,0.972747105923126
"B-bad","C-Preemption",285,0.9345,1.890925,0.0703186108003547
"B-good","C-Preemption",285,0.976,1.228375,0.97544691533833
"B-bad","C-Total Evidence",285,0.936,1.508,0.061238059969502
"B-good","C-Total Evidence",285,0.98,0.92985,0.980316881490666
"B-bad","No Deference",285,0.925,2.16815,0.0765327860656134
"B-good","No Deference",285,0.974,1.55745,0.973023896564978
"B-bad","C-Preemption",290,0.9315,1.9082,0.069738292647898
"B-good","C-Preemption",290,0.977,1.23455,0.97621722232067
"B-bad","C-Total Evidence",290,0.9355,1.5231,0.0602772154910887
"B-good","C-Total Evidence",290,0.9805,0.934475,0.981302664404854
"B-bad","No Deference",290,0.9245,2.1871,0.0754871220050028
"B-good","No Deference",290,0.9745,1.563875,0.97444005868905
"B-bad","C-Preemption",295,0.9335,1.925775,0.0683564505159366
"B-good","C-Preemption",295,0.9775,1.24035,0.975883035346019
"B-bad","C-Total Evidence",295,0.9395,1.537825,0.0594314352734289
"B-good","C-Total Evidence",295,0.9815,0.939,0.981510487040696
"B-bad","No Deference",295,0.9255,2.205775,0.0744179573822187
"B-good","No Deference",295,0.9745,1.570375,0.974868180435282
"B-bad","C-Preemption",300,0.931,1.942675,0.0667116032611765
"B-good","C-Preemption",300,0.975,1.246675,0.977114094980539
"B-bad","C-Total Evidence",300,0.935,1.5528,0.058799686176905
"B-good","C-Total Evidence",300,0.984,0.943575,0.982106027721737
"B-bad","No Deference",300,0.9215,2.22455,0.0720796191582243
"B-good","No Deference",300,0.975,1.5764,0.976212697171805
"B-bad","C-Preemption",305,0.928,1.958925,0.0652600025166478
"B-good","C-Preemption",305,0.9775,1.2524,0.977774121163886
"B-bad","C-Total Evidence",305,0.9355,1.566725,0.0585087671145629
"B-good","C-Total Evidence",305,0.982,0.94805,0.982562035039829
"B-bad","No Deference",305,0.9195,2.242475,0.0713567802070035
"B-good","No Deference",305,0.9755,1.58225,0.976770342181983
"B-bad","C-Preemption",310,0.935,1.975575,0.0649428270113698
"B-good","C-Preemption",310,0.9785,1.257975,0.977735559574989
"B-bad","C-Total Evidence",310,0.942,1.58085,0.0588158455416085
"B-good","C-Total Evidence",310,0.9825,0.9526,0.983553406604037
"B-bad","No Deference",310,0.9325,2.259975,0.0698023169003342
"B-good","No Deference",310,0.9775,1.5881,0.977483990917796
"B-bad","C-Preemption",315,0.9335,1.99305,0.0643509441907281
"B-good","C-Preemption",315,0.9765,1.263425,0.978942040912365
"B-bad","C-Total Evidence",315,0.938,1.596175,0.0579727854005888
"B-good","C-Total Evidence",315,0.983,0.9565,0.983743645478216
"B-bad","No Deference",315,0.9235,2.27835,0.0689971321597414
"B-good","No Deference",315,0.9765,1.593775,0.978287367072885
"B-bad","C-Preemption",320,0.9395,2.00905,0.0630037693892436
"B-good","C-Preemption",320,0.9775,1.268425,0.97958633496446
"B-bad","C-Total Evidence",320,0.948,1.610625,0.0572199140495739
"B-good","C-Total Evidence",320,0.982,0.960525,0.984356364983132
"B-bad","No Deference",320,0.9335,2.2954,0.0670249686659892
"B-good","No Deference",320,0.9795,1.599225,0.97878023626156
"B-bad","C-Preemption",325,0.941,2.025075,0.0617481699599631
"B-good","C-Preemption",325,0.982,1.273625,0.979491717276253
"B-bad","C-Total Evidence",325,0.9495,1.624875,0.0569211198008886
"B-good","C-Total Evidence",325,0.9855,0.964375,0.985056821322308
"B-bad","No Deference",325,0.9445,2.3123,0.0664651642765342
"B-good","No Deference",325,0.984,1.604275,0.980057269079061
"B-bad","C-Preemption",330,0.936,2.04055,0.0603825100371709
"B-good","C-Preemption",330,0.9775,1.2789,0.980419031524149
"B-bad","C-Total Evidence",330,0.9385,1.639025,0.0551286356161179
"B-good","C-Total Evidence",330,0.9825,0.9682,0.985912537258287
"B-bad","No Deference",330,0.938,2.328475,0.0647306047194621
"B-good","No Deference",330,0.982,1.60915,0.981348403452556
"B-bad","C-Preemption",335,0.935,2.055525,0.0597036818132314
"B-good","C-Preemption",335,0.9775,1.283725,0.981232780185514
"B-bad","C-Total Evidence",335,0.942,1.65285,0.0560202661081899
"B-good","C-Total Evidence",335,0.9845,0.97185,0.986071737461409
"B-bad","No Deference",335,0.933,2.344725,0.0658257913573188
"B-good","No Deference",335,0.9815,1.613825,0.982125220328927
"B-bad","C-Preemption",340,0.941,2.070425,0.0597888458881349
"B-good","C-Preemption",340,0.9825,1.288075,0.981565144859449
"B-bad","C-Total Evidence",340,0.9485,1.666125,0.0547134522376114
"B-good","C-Total Evidence",340,0.9855,0.975275,0.987149018061449
"B-bad","No Deference",340,0.9315,2.361325,0.0658201130970583
"B-good","No Deference",340,0.982,1.6182,0.983215421840384
"B-bad","C-Preemption",345,0.944,2.0851,0.060457945542138
"B-good","C-Preemption",345,0.9845,1.292575,0.982599687095754
"B-bad","C-Total Evidence",345,0.952,1.679025,0.0535747627808665
"B-good","C-Total Evidence",345,0.991,0.9784,0.987798961809524
"B-bad","No Deference",345,0.936,2.3777,0.065091846308088
"B-good","No Deference",345,0.985,1.62225,0.983610879082842
"B-bad","C-Preemption",350,0.9345,2.1002,0.0596475469974136
"B-good","C-Preemption",350,0.985,1.296725,0.983255081302526
"B-bad","C-Total Evidence",350,0.947,1.692675,0.0525947945975606
"B-good","C-Total Evidence",350,0.989,0.9814,0.988125771792107
"B-bad","No Deference",350,0.933,2.393725,0.0641598588637067
"B-good","No Deference",350,0.985,1.62635,0.98410784975823
"B-bad","C-Preemption",355,0.95,2.1153,0.0584950224559032
