"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","E-Preemption",295,0.922,0.90844633491686,0.93555366508314,0.078,0.927596032023117,2.05105,200
"B-bad","E-Preemption",300,0.929,0.917000315247022,0.940999684752978,0.071,0.929001379761425,2.068775,200
"B-bad","E-Preemption",305,0.9175,0.904433846324978,0.930566153675022,0.0825,0.929483232971271,2.0874,200
"B-bad","E-Preemption",310,0.9265,0.912782286622709,0.940217713377291,0.0735,0.930559575749532,2.104825,200
"B-bad","E-Preemption",315,0.9305,0.917675425678306,0.943324574321694,0.0695,0.932494472778922,2.121825,200
"B-bad","E-Preemption",320,0.9275,0.91389107778628,0.94110892221372,0.0725,0.93424596237616,2.138575,200
"B-bad","E-Preemption",325,0.9365,0.923453067246615,0.949546932753385,0.0635,0.935371826048309,2.15505,200
"B-bad","E-Preemption",330,0.9325,0.920312950691235,0.944687049308765,0.0675,0.935477845435644,2.171525,200
"B-bad","E-Preemption",335,0.94,0.92905979706765,0.95094020293235,0.06,0.937516582313915,2.186725,200
"B-bad","E-Preemption",340,0.9325,0.92023400541678,0.94476599458322,0.0675,0.93959193474369,2.202225,200
"B-bad","E-Preemption",345,0.9375,0.926878756945625,0.948121243054375,0.0625,0.940961072760222,2.21825,200
"B-bad","E-Preemption",350,0.9445,0.934224256106597,0.954775743893403,0.0555,0.941742827908411,2.232575,200
"B-bad","E-Preemption",355,0.9315,0.920248589725469,0.942751410274531,0.0685,0.941234780647348,2.2476,200
"B-bad","E-Preemption",360,0.935,0.923479644408057,0.946520355591944,0.065,0.941691888064247,2.26175,200
"B-bad","E-Preemption",365,0.947,0.936335904036742,0.957664095963258,0.053,0.942547421876876,2.2764,200
"B-bad","E-Preemption",370,0.943,0.9309265394252,0.9550734605748,0.057,0.943410900352248,2.289875,200
"B-bad","E-Preemption",375,0.946,0.935710879434565,0.956289120565435,0.054,0.944472835191302,2.304525,200
"B-bad","E-Preemption",380,0.9435,0.933235534193566,0.953764465806434,0.0565,0.94539823918687,2.318225,200
"B-bad","E-Preemption",385,0.948,0.938683716746023,0.957316283253978,0.052,0.946264557622375,2.33255,200
"B-bad","E-Preemption",390,0.9445,0.934413870512422,0.954586129487578,0.0555,0.945912759713066,2.346775,200
"B-bad","E-Preemption",395,0.9495,0.939102860946274,0.959897139053726,0.0505,0.945915179570331,2.360375,200
"B-bad","E-Preemption",400,0.9465,0.935838846074881,0.957161153925119,0.0535,0.947200415650139,2.373775,200
"B-bad","E-Preemption",405,0.951,0.941176390248859,0.960823609751141,0.049,0.948098698213447,2.387025,200
"B-bad","E-Preemption",410,0.949,0.938328665552309,0.959671334447691,0.051,0.949193465414846,2.399875,200
"B-bad","E-Preemption",415,0.95,0.938971922540066,0.961028077459934,0.05,0.948898584833849,2.41245,200
