"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","E-Preemption",420,0.9475,0.937583729932061,0.957416270067939,0.0525,0.948934593052842,2.4253,200
"B-bad","E-Preemption",425,0.9515,0.940650384672081,0.962349615327919,0.0485,0.94887230308389,2.437825,200
"B-bad","E-Preemption",430,0.95,0.939327761086956,0.960672238913044,0.05,0.949560746898216,2.450475,200
"B-bad","E-Preemption",435,0.955,0.945602224148514,0.964397775851486,0.045,0.950359001630803,2.46255,200
"B-bad","E-Preemption",440,0.95,0.938971922540066,0.961028077459934,0.05,0.951272134460642,2.474925,200
"B-bad","E-Preemption",445,0.9555,0.945804217463506,0.965195782536494,0.0445,0.951844328221923,2.486775,200
"B-bad","E-Preemption",450,0.953,0.942798496120324,0.963201503879676,0.047,0.951755729989832,2.49895,200
"B-bad","E-Preemption",455,0.9565,0.947870282616994,0.965129717383006,0.0435,0.952811000031295,2.510525,200
"B-bad","E-Preemption",460,0.9545,0.945625450651968,0.963374549348032,0.0455,0.953096727698979,2.52215,200
"B-bad","E-Preemption",465,0.9555,0.946210953227066,0.964789046772934,0.0445,0.953716861806028,2.533475,200
"B-bad","E-Preemption",470,0.9455,0.935121444703127,0.955878555296873,0.0545,0.95437400325049,2.545425,200
"B-bad","E-Preemption",475,0.95,0.940274149867286,0.959725850132714,0.05,0.95459387902112,2.557325,200
"B-bad","E-Preemption",480,0.954,0.943805121396076,0.964194878603924,0.046,0.954456945199422,2.568475,200
"B-bad","E-Preemption",485,0.957,0.947835177149042,0.966164822850958,0.043,0.955094265735396,2.579325,200
"B-bad","E-Preemption",490,0.9545,0.944794267455719,0.964205732544281,0.0455,0.955871225709188,2.5906,200
"B-bad","E-Preemption",495,0.9545,0.945304947911264,0.963695052088736,0.0455,0.956239641643527,2.602625,200
"B-bad","E-Preemption",500,0.9555,0.946210953227066,0.964789046772934,0.0445,0.956782062377176,2.614125,200
"B-bad","E-Total Evidence",0,0,0,0,0,0.5,0,200
"B-bad","E-Total Evidence",5,0.5055,0.482077154175193,0.528922845824807,0.4945,0.535705091944473,0,200
"B-bad","E-Total Evidence",10,0.5715,0.549602947537793,0.593397052462207,0.4285,0.563277775527802,0,200
"B-bad","E-Total Evidence",15,0.572,0.547373370461794,0.596626629538206,0.428,0.593586744307876,0,200
"B-bad","E-Total Evidence",20,0.6165,0.595256264369994,0.637743735630006,0.3835,0.610837011603697,0,200
"B-bad","E-Total Evidence",25,0.608,0.584324567193123,0.631675432806877,0.392,0.62584040228883,0,200
"B-bad","E-Total Evidence",26,0.7325,0.699330177334234,0.765669822665766,0.2675,0.741982268740404,0.013375,200
"B-bad","E-Total Evidence",30,0.7475,0.717348343962412,0.777651656037589,0.2525,0.747062691072923,0.06465,200
"B-bad","E-Total Evidence",35,0.7595,0.730451835560806,0.788548164439194,0.2405,0.758897409561791,0.128075,200
"B-bad","E-Total Evidence",40,0.7555,0.72772236614264,0.78327763385736,0.2445,0.767683465198205,0.188275,200
"B-bad","E-Total Evidence",45,0.7625,0.733841898459256,0.791158101540744,0.2375,0.775862237014434,0.246275,200
"B-bad","E-Total Evidence",50,0.775,0.745996645489456,0.804003354510544,0.225,0.784173967067612,0.301275,200
"B-bad","E-Total Evidence",55,0.7875,0.761250222781515,0.813749777218485,0.2125,0.792705886598603,0.35475,200
"B-bad","E-Total Evidence",60,0.801,0.775155906324859,0.826844093675141,0.199,0.80162531836916,0.404875,200
"B-bad","E-Total Evidence",65,0.805,0.779164871408357,0.830835128591643,0.195,0.809691300633745,0.454375,200
"B-bad","E-Total Evidence",70,0.819,0.794247096266982,0.843752903733019,0.181,0.817624801439258,0.50075,200
"B-bad","E-Total Evidence",75,0.8285,0.805485381486398,0.851514618513602,0.1715,0.824742975637011,0.5459,200
"B-bad","E-Total Evidence",80,0.823,0.800912795764181,0.845087204235819,0.177,0.830311515599232,0.588925,200
"B-bad","E-Total Evidence",85,0.83,0.808119594135299,0.8518804058647,0.17,0.835540324940046,0.630275,200
"B-bad","E-Total Evidence",90,0.8375,0.814863427332952,0.860136572667048,0.1625,0.838297769907773,0.6732,200
"B-bad","E-Total Evidence",95,0.8465,0.82571094455896,0.867289055441041,0.1535,0.843800217202328,0.7134,200
"B-bad","E-Total Evidence",100,0.84,0.818610348625336,0.861389651374664,0.16,0.849199310974501,0.752375,200
"B-bad","E-Total Evidence",105,0.8565,0.83667585701156,0.87632414298844,0.1435,0.853926063125868,0.790725,200
"B-bad","E-Total Evidence",110,0.851,0.831351306716764,0.870648693283236,0.149,0.861142392977573,0.82775,200
"B-bad","E-Total Evidence",115,0.8615,0.843136814686053,0.879863185313947,0.1385,0.866478611469366,0.86225,200
"B-bad","E-Total Evidence",120,0.872,0.852941303888056,0.891058696111944,0.128,0.86964981605469,0.895375,200
"B-bad","E-Total Evidence",125,0.8715,0.852582748242138,0.890417251757863,0.1285,0.874017773734937,0.9282,200
"B-bad","E-Total Evidence",130,0.8855,0.868460774842445,0.902539225157555,0.1145,0.876732633792652,0.959575,200
"B-bad","E-Total Evidence",135,0.8825,0.864414342560329,0.900585657439671,0.1175,0.880817671114692,0.990275,200
"B-bad","E-Total Evidence",140,0.886,0.867723089448802,0.904276910551198,0.114,0.885321805276307,1.01905,200
"B-bad","E-Total Evidence",145,0.8795,0.861908903634032,0.897091096365968,0.1205,0.88780798493912,1.04805,200
"B-bad","E-Total Evidence",150,0.8895,0.873273205420923,0.905726794579077,0.1105,0.888374537912956,1.07515,200
